"Titolo_Nota_Atomica","Testo_Nota","Autore_Citato","Opera_Citata","Pagine_Riferimento","Edizione_Riferimento","Sezione_Riferimento","Nota_Markdown"
"Arte come produzione seriale capitalista","La critica all'arte come produzione seriale unisce l'analisi di Fisher sul realismo capitalista con la tesi di Weber sull'ascesi intramondana e la professionalizzazione come 'gabbia d'acciaio' dello spirito del capitalismo.","Mark Fisher & Max Weber","Realismo Capitalista","","","La Materia","### Arte come produzione seriale capitalista

**Sezione:** [[La Materia]]
**Autori:** [[Mark Fisher]], [[Max Weber]]

**Concetti Chiave:** Arte Contemporanea, Realismo Capitalista, Razionalizzazione

La critica all'arte come produzione seriale unisce l'analisi di Fisher sul realismo capitalista con la tesi di Weber sull'ascesi intramondana e la professionalizzazione come 'gabbia d'acciaio' dello spirito del capitalismo.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Realismo Capitalista"
"Critica alla temporalità lineare","Il passato non è mai finito e il futuro non è un semplice dispiegamento del presente. Questa visione non-lineare è centrale nella 'temporalità queer' che critica la 'crononormatività' (il tempo lineare, produttivo e riproduttivo).","Elizabeth Freeman","Time Binds: Queer Temporalities, Queer Histories","3","","Gli echi della performatività","### Critica alla temporalità lineare

**Sezione:** [[Gli echi della performatività]]
**Autori:** [[Elizabeth Freeman]]

**Concetti Chiave:** Crononormatività, Temporalità Queer, Capitalismo

Il passato non è mai finito e il futuro non è un semplice dispiegamento del presente. Questa visione non-lineare è centrale nella 'temporalità queer' che critica la 'crononormatività' (il tempo lineare, produttivo e riproduttivo).

> *Propongo il termine 'crononormatività' per descrivere come l'uso del tempo organizzi i corpi umani individuali verso la massima produttività.*

**Fonte:** Time Binds: Queer Temporalities, Queer Histories, p. 3"
"Immaginare nuovi mondi come pratica etico-politica","L'invito a 'restare con il problema' (staying with the trouble) per generare parentele e immaginare nuove forme di sopravvivenza in un mondo danneggiato è il filo conduttore dell'opera di Haraway.","Donna J. Haraway","Chthulucene: Sopravvivere su un pianeta infetto","25","","Gli echi della performatività","### Immaginare nuovi mondi come pratica etico-politica

**Sezione:** [[Gli echi della performatività]]
**Autori:** [[Donna J. Haraway]]

**Concetti Chiave:** Immaginazione, Sopravvivenza, Chthulucene

L'invito a 'restare con il problema' (staying with the trouble) per generare parentele e immaginare nuove forme di sopravvivenza in un mondo danneggiato è il filo conduttore dell'opera di Haraway.

> *Rimanere con il problema richiede di rendere parentele in modo strano. Fare parentele, non bambini! Fare parentele è un tipo di composizione con cui diveniamo-con gli uni con gli altri in nodi di specie compagne.*

**Fonte:** Chthulucene: Sopravvivere su un pianeta infetto, p. 25"
"Soggettività come processo materiale e nomade","La visione del soggetto come entità materiale, processuale e non-statica è un punto di convergenza tra l'ontologia di Barad (corpi come fenomeni materiali-discorsivi) e la soggettività nomade di Braidotti (soggetto come divenire).","Karen Barad & Rosi Braidotti","Meeting the Universe Halfway","153","","Diventare Materia","### Soggettività come processo materiale e nomade

**Sezione:** [[Diventare Materia]]
**Autori:** [[Karen Barad]], [[Rosi Braidotti]]

**Concetti Chiave:** Soggettività, Materialità, Pensiero Nomade

La visione del soggetto come entità materiale, processuale e non-statica è un punto di convergenza tra l'ontologia di Barad (corpi come fenomeni materiali-discorsivi) e la soggettività nomade di Braidotti (soggetto come divenire).

> *I corpi non sono oggetti con confini e proprietà intrinseche; sono fenomeni materiali-discorsivi.*

**Fonte:** Meeting the Universe Halfway, p. 153"
"Critica della norma escludente","La critica alla norma che costruisce l'umano attraverso l'esclusione dell'alterità (umana e non-umana) è un punto di convergenza tra la teoria nomade di Braidotti e il realismo agenziale di Barad.","Rosi Braidotti & Karen Barad","Nomadic Theory","","","Essere Minoranza","### Critica della norma escludente

**Sezione:** [[Essere Minoranza]]
**Autori:** [[Rosi Braidotti]], [[Karen Barad]]

**Concetti Chiave:** Normatività, Esclusione, Decolonizzazione

La critica alla norma che costruisce l'umano attraverso l'esclusione dell'alterità (umana e non-umana) è un punto di convergenza tra la teoria nomade di Braidotti e il realismo agenziale di Barad.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Nomadic Theory"
"Divenire-minoritario come strategia politica","L'analisi si fonda sulla politica affermativa di Braidotti, che riprende da Deleuze e Guattari concetti come 'divenire-animale' e 'macchina da guerra' (intesa come forza creativa e deterritorializzante).","Rosi Braidotti, Gilles Deleuze & Félix Guattari","Mille Piani","360","","Essere Minoranza","### Divenire-minoritario come strategia politica

**Sezione:** [[Essere Minoranza]]
**Autori:** [[Rosi Braidotti]], [[Gilles Deleuze]], [[Félix Guattari]]

**Concetti Chiave:** Divenire Minoritario, Macchina da Guerra, Potestas/Potentia

L'analisi si fonda sulla politica affermativa di Braidotti, che riprende da Deleuze e Guattari concetti come 'divenire-animale' e 'macchina da guerra' (intesa come forza creativa e deterritorializzante).

> *Una macchina da guerra è una composizione rizomatica, un'altra specie di organizzazione spaziale, temporale, sessuale, materiale.*

**Fonte:** Mille Piani, p. 360"
"Simpoiesi come fondamento ontologico","Il concetto di 'simpoiesi' (Haraway) e la sua manifestazione pratica come 'bene comune' (Mollona) definiscono l'ontologia del progetto, dove nessuna entità si produce da sola ma emerge da una rete di relazioni.","Donna J. Haraway & Mao Mollona","Chthulucene: Sopravvivere su un pianeta infetto","89","","Simpoiesi intra-attiva","### Simpoiesi come fondamento ontologico

**Sezione:** [[Simpoiesi intra-attiva]]
**Autori:** [[Donna J. Haraway]], [[Mao Mollona]]

**Concetti Chiave:** Simpoiesi, Art Commons, Ontologia

Il concetto di 'simpoiesi' (Haraway) e la sua manifestazione pratica come 'bene comune' (Mollona) definiscono l'ontologia del progetto, dove nessuna entità si produce da sola ma emerge da una rete di relazioni.

> *La simpoiesi... è un termine adeguato per designare i sistemi complessi, dinamici, reattivi, situati che costituiscono i viventi terrestri.*

**Fonte:** Chthulucene: Sopravvivere su un pianeta infetto, p. 89"
"Critica alla temporalità lineare e 'crononormatività'","Il concetto di 'crononormatività' è definito da Freeman come l'uso del tempo per organizzare le vite umane secondo tappe produttive e riproduttive considerate 'normali', funzionali a un'economia capitalista.","Elizabeth Freeman","Time Binds: Queer Temporalities, Queer Histories","3","","Rompere la normatività","### Critica alla temporalità lineare e 'crononormatività'

**Sezione:** [[Rompere la normatività]]
**Autori:** [[Elizabeth Freeman]]

**Concetti Chiave:** Crononormatività, Temporalità Queer, Capitalismo

Il concetto di 'crononormatività' è definito da Freeman come l'uso del tempo per organizzare le vite umane secondo tappe produttive e riproduttive considerate 'normali', funzionali a un'economia capitalista.

> *Propongo il termine 'crononormatività' per descrivere come l'uso del tempo organizzi i corpi umani individuali verso la massima produttività.*

**Fonte:** Time Binds: Queer Temporalities, Queer Histories, p. 3"
"Critica al capitalismo 'terraformante'","Questa analisi unisce il concetto di 'realismo capitalista' di M. Fisher con l'analisi storica di M. Weber sullo 'spirito del capitalismo' come etica del lavoro e del profitto che diventa una 'gabbia d'acciaio'.","Mark Fisher & Max Weber","Realismo Capitalista","","","Trasformare la normatività","### Critica al capitalismo 'terraformante'

**Sezione:** [[Trasformare la normatività]]
**Autori:** [[Mark Fisher]], [[Max Weber]]

**Concetti Chiave:** Realismo Capitalista, Spirito del Capitalismo, Normatività

Questa analisi unisce il concetto di 'realismo capitalista' di M. Fisher con l'analisi storica di M. Weber sullo 'spirito del capitalismo' come etica del lavoro e del profitto che diventa una 'gabbia d'acciaio'.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Realismo Capitalista"
"Normatività diffrattiva","Gli schemi descrittivi di una società dovrebbero co-costituirsi in modo diffrazionale in un’indeterminazione temporale che validi le necessità della materialità intra-attiva di quel preciso momento storico.","Karen Barad","Meeting the Universe Halfway","","","Trasformare la normatività","### Normatività diffrattiva

**Sezione:** [[Trasformare la normatività]]
**Autori:** [[Karen Barad]]

**Concetti Chiave:** Normatività, Diffrazione, Intra-azione

Gli schemi descrittivi di una società dovrebbero co-costituirsi in modo diffrazionale in un’indeterminazione temporale che validi le necessità della materialità intra-attiva di quel preciso momento storico.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Meeting the Universe Halfway"
"Pratiche di trasformazione nomade","Diventare Queer, supportare le differenze positive delle (s)oggettività, alimentare la narrazione di un’individualità nomade costituisce un primo passo con cui possiamo fermamente sottolineare la voglia di trasformare questa normatività.","Rosi Braidotti","Nomadic Theory","","","Trasformare la normatività","### Pratiche di trasformazione nomade

**Sezione:** [[Trasformare la normatività]]
**Autori:** [[Rosi Braidotti]]

**Concetti Chiave:** Pensiero Nomade, Queer, Differenza

Diventare Queer, supportare le differenze positive delle (s)oggettività, alimentare la narrazione di un’individualità nomade costituisce un primo passo con cui possiamo fermamente sottolineare la voglia di trasformare questa normatività.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Nomadic Theory"
"Rottura non-oppositiva e onto-epistemologia","Operare una rottura, che va intesa non come schema oppositivo/dualistico dalla precedente norma, ma come frattura che può permetterci di 'spezzettare' la realtà normativa e di conseguenza costruire un’onto-epistemologia che si co-costituisca intra-attivamente.","Karen Barad","Meeting the Universe Halfway","185","","Trasformare la normatività","### Rottura non-oppositiva e onto-epistemologia

**Sezione:** [[Trasformare la normatività]]
**Autori:** [[Karen Barad]]

**Concetti Chiave:** Rottura, Onto-epistemologia, Intra-azione

Operare una rottura, che va intesa non come schema oppositivo/dualistico dalla precedente norma, ma come frattura che può permetterci di 'spezzettare' la realtà normativa e di conseguenza costruire un’onto-epistemologia che si co-costituisca intra-attivamente.

> *Ciò di cui abbiamo bisogno è qualcosa come un'etico-onto-epistemologia, un apprezzamento dell'intreccio tra etica, sapere ed essere.*

**Fonte:** Meeting the Universe Halfway, p. 185"
"La norma escludente e la decolonizzazione della natura","La critica alla norma che costruisce l'umano attraverso l'esclusione dell'alterità (umana e non-umana) è un punto di convergenza tra la teoria nomade di Braidotti e il realismo agenziale di Barad, che mira a superare la dicotomia natura/cultura.","Rosi Braidotti & Karen Barad","Nomadic Theory","","","Rompere la normatività","### La norma escludente e la decolonizzazione della natura

**Sezione:** [[Rompere la normatività]]
**Autori:** [[Rosi Braidotti]], [[Karen Barad]]

**Concetti Chiave:** Normatività, Esclusione, Decolonizzazione, Natura/Cultura

La critica alla norma che costruisce l'umano attraverso l'esclusione dell'alterità (umana e non-umana) è un punto di convergenza tra la teoria nomade di Braidotti e il realismo agenziale di Barad, che mira a superare la dicotomia natura/cultura.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Nomadic Theory"
"Noia esistenziale e pensiero sovversivo","Ci è stata incollata addosso una noia esistenziale che comporta una riduzione critica del pensiero sovversivo. La noia è normativa, ormai ascoltiamo l’algoritmo e non propriamente le persone che lo alimentano.","Mark Fisher","Realismo Capitalista","","","Rompere la normatività","### Noia esistenziale e pensiero sovversivo

**Sezione:** [[Rompere la normatività]]
**Autori:** [[Mark Fisher]]

**Concetti Chiave:** Noia, Affettività, Realismo Capitalista

Ci è stata incollata addosso una noia esistenziale che comporta una riduzione critica del pensiero sovversivo. La noia è normativa, ormai ascoltiamo l’algoritmo e non propriamente le persone che lo alimentano.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Realismo Capitalista"
"Decolonizzazione della natura e Gaia","Operare una decolonizzazione della natura dove 'gaia' non è più uno sfondo entro cui le cose accadono ma bensì diventa un’attrice protagonista dell’intra-azione che si materializza attraverso le relazioni e le co-costituzioni.","Karen Barad","Meeting the Universe Halfway","170","","Rompere la normatività","### Decolonizzazione della natura e Gaia

**Sezione:** [[Rompere la normatività]]
**Autori:** [[Karen Barad]]

**Concetti Chiave:** Decolonizzazione, Natura, Intra-azione

Operare una decolonizzazione della natura dove 'gaia' non è più uno sfondo entro cui le cose accadono ma bensì diventa un’attrice protagonista dell’intra-azione che si materializza attraverso le relazioni e le co-costituzioni.

> *I corpi ('umani, 'ambientali' o altro) sono 'parti' integrali o riconfigurazioni dinamiche di ciò che è.*

**Fonte:** Meeting the Universe Halfway, p. 170"
"Rottura nomade e deterritorializzazione","Rompere non è distruggere la struttura ma de-territorializzarla intra-agendo nelle pieghe della strutturazione normativa rifugiandosi nei margini, diventando altro, diventando minoranza. Queste modalità permettono di agire in una modalità rizomatica.","Gilles Deleuze & Félix Guattari","Mille Piani","293-376","","Rompere la normatività","### Rottura nomade e deterritorializzazione

**Sezione:** [[Rompere la normatività]]
**Autori:** [[Gilles Deleuze]], [[Félix Guattari]], [[Rosi Braidotti]]

**Concetti Chiave:** Rottura, Pensiero Nomade, Deterritorializzazione, Rizoma

Rompere non è distruggere la struttura ma de-territorializzarla intra-agendo nelle pieghe della strutturazione normativa rifugiandosi nei margini, diventando altro, diventando minoranza. Queste modalità permettono di agire in una modalità rizomatica.

> *La macchina da guerra è appunto questa nomadica composizione rizomatica che si oppone all'apparato di Stato.*

**Fonte:** Mille Piani, pp. 293-376"

"Arte come pratica collettiva e bene comune","Sintesi delle teorie di Bazzichelli, Deseriis, Bourriaud e Mollona per definire un'arte come pratica collettiva e bene comune.","Mao Mollona et al.","Art/Commons: Anthropology beyond Capitalism","","","Riscrivere la normatività artistica","### Arte come pratica collettiva e bene comune

**Sezione:** [[Riscrivere la normatività artistica]]
**Autori:** [[Mao Mollona]], [[Tatiana Bazzichelli]], [[Luca Deseriis]], [[Nicolas Bourriaud]]

**Concetti Chiave:** Art Commons, Networking, Postproduzione

Sintesi delle teorie di Bazzichelli, Deseriis, Bourriaud e Mollona per definire un'arte come pratica collettiva e bene comune.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Art/Commons: Anthropology beyond Capitalism"
"Compost identitario e co-creazione","Il compost identitario harawayano di (s)oggettività cyborg, multi-specie e normativamente impure alimenta inevitabilmente l’idea di co-creazione e co-evoluzione.","Donna J. Haraway","Chthulucene: Sopravvivere su un pianeta infetto","46-49","","Riscrivere la normatività artistica","### Compost identitario e co-creazione

**Sezione:** [[Riscrivere la normatività artistica]]
**Autori:** [[Donna J. Haraway]]

**Concetti Chiave:** Compost, Identità, Cyborg, Co-creazione

Il compost identitario harawayano di (s)oggettività cyborg, multi-specie e normativamente impure alimenta inevitabilmente l’idea di co-creazione e co-evoluzione.

> *Noi compostisti non siamo postumani; siamo compost. [...] Noi siamo humus, non Uomo.*

**Fonte:** Chthulucene: Sopravvivere su un pianeta infetto, p. 147"
"Becoming-with come imperativo etico","We become-with each other or not at all","Donna J. Haraway","Chthulucene: Sopravvivere su un pianeta infetto","26","","Riscrivere la normatività artistica","### Becoming-with come imperativo etico

**Sezione:** [[Riscrivere la normatività artistica]]
**Autori:** [[Donna J. Haraway]]

**Concetti Chiave:** Becoming-with, Simpoiesi, Etica

'We become-with each other or not at all' ('Diveniamo-con gli uni con gli altri o non diveniamo affatto').

> *Making kin as oddkin rather than, or at least in addition to, godkin and genealogical and biogenetic family troubles the lines of species and kinds.*

**Fonte:** Chthulucene: Sopravvivere su un pianeta infetto, p. 26"
"Compost e temporalità non-lineare","L'idea del 'compost' come modello per una soggettività relazionale (Haraway) e la chiamata a 'generare nuovi mondi' (Braidotti) sono strategie centrali nel pensiero postumanista affermativo.","Donna J. Haraway & Rosi Braidotti","Chthulucene: Sopravvivere su un pianeta infetto","","","Generare nuovi mondi per trovare nuove vie percorribili","### Compost e temporalità non-lineare

**Sezione:** [[Generare nuovi mondi per trovare nuove vie percorribili]]
**Autori:** [[Donna J. Haraway]], [[Rosi Braidotti]]

**Concetti Chiave:** Compost, Temporalità non-lineare, Immaginazione

L'idea del 'compost' come modello per una soggettività relazionale (Haraway) e la chiamata a 'generare nuovi mondi' (Braidotti) sono strategie centrali nel pensiero postumanista affermativo.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Chthulucene: Sopravvivere su un pianeta infetto"
"Temporalità come intra-azione","La variazione della rotazione terrestre è usata per argomentare che la temporalità non è un contenitore astratto ma un fenomeno materiale prodotto da intra-azioni.","Karen Barad","Meeting the Universe Halfway","","","Generare nuovi mondi per trovare nuove vie percorribili","### Temporalità come intra-azione

**Sezione:** [[Generare nuovi mondi per trovare nuove vie percorribili]]
**Autori:** [[Karen Barad]]

**Concetti Chiave:** Temporalità, Intra-azione, Materialità

La variazione della rotazione terrestre è usata per argomentare che la temporalità non è un contenitore astratto ma un fenomeno materiale prodotto da intra-azioni.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Meeting the Universe Halfway"
"Trasformazione collettiva e simpoietica","L'appello a una 'riscrittura collettiva' si fonda sulla sinergia tra la 'spinta immaginativa' e la 'simpoiesi' di D. Haraway e la politica della 'soggettività nomade' di R. Braidotti.","Donna J. Haraway & Rosi Braidotti","Chthulucene: Sopravvivere su un pianeta infetto","89-142","","Trasformare l’accademismo","### Trasformazione collettiva e simpoietica

**Sezione:** [[Trasformare l’accademismo]]
**Autori:** [[Donna J. Haraway]], [[Rosi Braidotti]]

**Concetti Chiave:** Trasformazione, Simpoiesi, Pensiero Nomade

L'appello a una 'riscrittura collettiva' si fonda sulla sinergia tra la 'spinta immaginativa' e la 'simpoiesi' di D. Haraway e la politica della 'soggettività nomade' di R. Braidotti.

> *La simpoiesi... è un termine adeguato per designare i sistemi complessi, dinamici, reattivi, situati che costituiscono i viventi terrestri.*

**Fonte:** Chthulucene: Sopravvivere su un pianeta infetto, p. 89"
"Accademismo come apparato intra-agente","L'accademismo non è un osservatore neutro, ma un 'apparato intra-agente' che co-produce attivamente i fenomeni che studia, stabilendo cosa è 'reale' o 'conoscibile'.","Karen Barad","Meeting the Universe Halfway","","","Trasformare l’accademismo","### Accademismo come apparato intra-agente

**Sezione:** [[Trasformare l’accademismo]]
**Autori:** [[Karen Barad]]

**Concetti Chiave:** Accademismo, Apparato, Intra-azione

L'accademismo non è un osservatore neutro, ma un 'apparato intra-agente' che co-produce attivamente i fenomeni che studia, stabilendo cosa è 'reale' o 'conoscibile'.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Meeting the Universe Halfway"
